season,games,model,mae,rmse,bias
2019,5609,baseline,11.1606779716,14.2825891443,0.0137525810
2019,5609,boost,9.2133220864,11.7064121403,0.2796582782
2019,5609,elo,9.4566869008,12.0390535669,0.4000677792
2019,5609,ridge,9.2468344267,11.7866379344,0.2373916697
2020,5333,baseline,11.0321569176,14.1035726308,0.0889903762
2020,5333,boost,9.2259512417,11.7608154846,0.1016758421
2020,5333,elo,9.4898399648,12.0956041904,0.2280130205
2020,5333,ridge,9.3152737759,11.8670963805,0.1707509164
2021,3949,baseline,11.4537765900,14.7210356990,1.0263857246
2021,3949,boost,9.7066975819,12.2781451956,1.4354868186
2021,3949,elo,9.8709486043,12.5712270124,1.1177899487
2021,3949,ridge,9.7977359865,12.4382518929,1.6543080070
2022,5477,baseline,11.0540660120,14.1302920259,0.5955638773
2022,5477,boost,9.0203391916,11.4937950951,0.4874577463
2022,5477,elo,9.3829126113,11.9569832063,0.6461037519
2022,5477,ridge,9.1577565081,11.6734622942,0.5295947729
2023,5715,baseline,10.8900831591,13.8589463293,-0.0162850200
2023,5715,boost,9.2165006854,11.6257791947,-0.1990228833
2023,5715,elo,9.4843941329,11.9860323782,-0.0368478775
2023,5715,ridge,9.2825721491,11.7175068794,-0.2266856724
2024,5727,baseline,11.2285676739,14.3218603575,-0.0245457868
2024,5727,boost,9.3467231926,11.7882212820,0.0384573136
2024,5727,elo,9.6911275033,12.2218220350,0.0635559650
2024,5727,ridge,9.4371020198,11.9028863730,0.0391951715
2025,5764,baseline,11.3374428986,14.6132861244,-0.3826654297
2025,5764,boost,9.3546106654,11.9915978597,-0.1763454198
2025,5764,elo,9.7518597831,12.5622272284,-0.3257151837
2025,5764,ridge,9.4740427161,12.1823817020,-0.3046717206
2026,5752,baseline,11.6119401757,15.0138290238,-0.3081684917
2026,5752,boost,9.5119017458,12.0984552209,0.2483142262
2026,5752,elo,10.0097328235,12.7829682457,-0.0189167113
2026,5752,ridge,9.6854779183,12.3442353659,0.0916117832
